author-as-cited,author-full,author-full-reconciled,wikidata-url,wikidata-id
"Carlquist, S.",Sherwin Carlquist,Sherwin Carlquist,https://www.wikidata.org/wiki/Q2251003,Q2251003
"Grant, Martin L.",Martin L. Grant,Martin Lawrence Grant,https://www.wikidata.org/wiki/Q6002289,Q6002289
"Webb, Alice-Ann",Alice-Ann Webb,Alice-Ann Webb,,
"Raven, Peter H.",Peter H. Raven,Peter H. Raven,https://www.wikidata.org/wiki/Q851890,Q851890
"Bissing, Donald R.",Donald R. Bissing,Donald R. Bissing,https://www.wikidata.org/wiki/Q36533870,Q36533870
"DeBuhr, Larry",Larry DeBuhr,Larry Eugene DeBuhr,https://www.wikidata.org/wiki/Q5970137,Q5970137
"Eckhart, Vincent M.",Vincent M. Eckhart,Vincent M. Eckhart,,
"Michener, David C.",David C. Michener,David C. Michener,,
"Baas, Pieter",Pieter Baas,Pieter Baas,https://www.wikidata.org/wiki/Q2651246,Q2651246
"Hoekman, David A.",David A. Hoekman,David A. Hoekman,,
"Pauly, Quinn",Quinn Pauly,Quinn Pauly,,
"Goldblatt, Peter",Peter Goldblatt,Peter Goldblatt,https://www.wikidata.org/wiki/Q610293,Q610293
"Tobe, Hiroshi",Hiroshi Tobe,Hiroshi Tobe,https://www.wikidata.org/wiki/Q5898659,Q5898659
"Patel, Varsha C.",Varsha C. Patel,Varsha C. Patel,,
"Schmid, R.",R. Schmid,Rudolf Schmid,https://www.wikidata.org/wiki/Q19001826,Q19001826
"Hufford, L. D.",L. D. Hufford,L. D. Hufford,,
"Webster, G. L.",G. L. Webster,Grady Webster,https://www.wikidata.org/wiki/Q3113180,Q3113180
"Maddox, Jay C.",Jay C. Maddox,Jay C. Maddox,,
"Berry, Paul E.",Paul E. Berry,Paul Edward Berry,https://www.wikidata.org/wiki/Q6067165,Q6067165
"Stein, Bruce A.",Bruce A. Stein,Bruce Alan Stein,https://www.wikidata.org/wiki/Q21394618,Q21394618
"Nowicke, Joan",Joan Nowicke,Joan W. Nowicke,https://www.wikidata.org/wiki/Q10306979,Q10306979
"Zona, Scott",Scott Zona,Scott Zona,https://www.wikidata.org/wiki/Q595854,Q595854
"Lowrie, Allen",Allen Lowrie,Allen Lowrie,https://www.wikidata.org/wiki/Q705527,Q705527
"Hanson, Michael A.",Michael A. Hanson,Michael A. Hanson,,
"MacLachlan, Andrew A.",Andrew A. MacLachlan,Andrew A. MacLachlan,,
"Morrell, Peter L.",Peter L. Morrell,Peter L. Morrell,,
"Manchester, Steven R.",Steven R. Manchester,Steven R. Manchester,https://www.wikidata.org/wiki/Q21340544,Q21340544
"Schneider, Edward L.",Edward L. Schneider,Edward L. Schneider,https://www.wikidata.org/wiki/Q21608212,Q21608212
"Miller, Regis B.",Regis B. Miller,Regis B. Miller,https://www.wikidata.org/wiki/Q21521517,Q21521517
"Gowans, David A.",David A. Gowans,David A. Gowans,,
"Beamer, Kelley",Kelley Beamer,Kelley Beamer,,
"Kohn, Alison",Alison Kohn,Alison H. Kohn,https://www.wikidata.org/wiki/Q99206463,Q99206463
"Wilson, Erika J.",Erika J. Wilson,Erika J. Wilson,,
"Robinson, Alexander A.",Alexander A. Robinson,Alexander A. Robinson,,
"Dauer, Karen",Karen Dauer,Karen Dauer,,
"Nishimura, Stefanie",Stefanie Nishimura,Stefanie Nishimura,,
"Donald, Christopher John",Christopher John Donald,Christopher John Donald,,
"Boggs, Colby J.",Colby J. Boggs,Colby J. Boggs,,
"Yatskievych, George",George Yatskievych,George A. Yatskievych,https://www.wikidata.org/wiki/Q5877764,Q5877764
"DeVore, Melanie L.",Melanie L. DeVore,Melanie L. DeVore,https://www.wikidata.org/wiki/Q21341935,Q21341935
"Iltis, Hugh",Hugh Iltis,Hugh Iltis,https://www.wikidata.org/wiki/Q2718582,Q2718582
"Kenneally, Kevin F.",Kevin F. Kenneally,Kevin F. Kenneally,,
"Hayes, Virginia",Virginia Hayes,Virginia Hayes,,
"Lamoureux, Charles H.",Charles H. Lamoureux,Charles H. Lamoureux,https://www.wikidata.org/wiki/Q21518341,Q21518341
"Olson, Mark E.",Mark E. Olson,Mark E Olson,https://www.wikidata.org/wiki/Q88003641,Q88003641
"Lowrey, Timothy K.",Timothy K. Lowrey,Timothy K. Lowrey,https://www.wikidata.org/wiki/Q21519536,Q21519536
"Baldwin, Bruce G.",Bruce G. Baldwin,Bruce Gregg Baldwin,https://www.wikidata.org/wiki/Q5734358,Q5734358
"Carr, Gerald D.",Gerald D. Carr,Gerald D. Carr,https://www.wikidata.org/wiki/Q21507014,Q21507014
"Grant, Jason R.",Jason R. Grant,Jason Randall Grant,https://www.wikidata.org/wiki/Q5927145,Q5927145
"Rosell, Julieta A.",Julieta A. Rosell,Julieta A. Rosell,https://www.wikidata.org/wiki/Q44221832,Q44221832
"Aguirre-Hernández, Rebeca",Rebeca Aguirre-Hernández,Rebeca Aguirre-Hernández,,
"Chemnick, J.G.",J.G. Chemnick,J.G. Chemnick,,
"Hellquist, C. Barre",C. Barre Hellquist,C. Barre Hellquist,,
"Nazaire, M.",M. Nazaire,Mare Nazaire,https://www.wikidata.org/wiki/Q36632258,Q36632258
"Guilliams, C. Matt",C. Matt Guilliams,C. Matt Guilliams,https://www.wikidata.org/wiki/Q33674665,Q33674665
"Hansen, Bruce F.",Bruce F. Hansen,Bruce Frederick Hansen,https://www.wikidata.org/wiki/Q16539070,Q16539070
"Iltis, Hugh H.",Hugh H. Iltis,Hugh Iltis,https://www.wikidata.org/wiki/Q2718582,Q2718582
"Geiger, Daniel L.",Daniel L. Geiger,Daniel L. Geiger,https://www.wikidata.org/wiki/Q21503038,Q21503038
"Knope, M.L.",M.L. Knope,M.L. Knope,,
"Funk, V.A.",V.A. Funk,Vicki Ann Funk,https://www.wikidata.org/wiki/Q19060876,Q19060876
"Johnson, M.A.",M.A. Johnson,M.A. Johnson,,
"Wagner, W.L.",W.L. Wagner,Warren Lambert Wagner,https://www.wikidata.org/wiki/Q2253909,Q2253909
"Datlof, E.M.",E.M. Datlof,E.M. Datlof,,
"Johnson, G.",G. Johnson,G. Johnson,,
"Crawford, D.J.",D.J. Crawford,Daniel J. Crawford,https://www.wikidata.org/wiki/Q5798451,Q5798451
"Bonifacino, J.M.",J.M. Bonifacino,José Mauricio Bonifacino,https://www.wikidata.org/wiki/Q33664716,Q33664716
"Morden, C.W.",C.W. Morden,C.W. Morden,,
"Lorence, D.H.",D.H. Lorence,D.H. Lorence,,
"Wood, K.R.",K.R. Wood,Kenneth Richard Wood,https://www.wikidata.org/wiki/Q21388304,Q21388304
"Meyer, J.-Y.",J.-Y. Meyer,Jean-Yves Meyer,https://www.wikidata.org/wiki/Q47122548,Q47122548
"Stuessy, Tod F.",Tod F. Stuessy,Tod Falor Stuessy,https://www.wikidata.org/wiki/Q6147830,Q6147830
"Urtubey, Estrella",Estrella Urtubey,Estrella Urtubey,https://www.wikidata.org/wiki/Q36551181,Q36551181
